MaNV,HoTen,GioiTinh,NgaySinh,PhongBan,ChucVu,NgayVaoLam,TrinhDoHocVan,LuongCoBan_VND,SoNamKinhNghiem,Email,SDT,TrangThai
NV1001,Nguyễn Việt Khang,Nam,21/09/1977,IT,Phó phòng,27/06/2023,Thạc sĩ,15000000,0,nv1001@congty.com.vn,0914971784,Đang làm việc
NV1002,Trần Kim Giang,Nữ,15/09/1996,Kế toán,Giám đốc,17/05/2020,Cao đẳng,35000000,2,nv1002@congty.com.vn,0914949636,Đang làm việc
NV1003,Nguyễn Hải Yến,Nữ,05/11/1997,Kinh doanh,Chuyên viên,07/07/2018,Trung cấp,9000000,9,nv1003@congty.com.vn,0923058343,Đang làm việc
NV1004,Lê Hữu Dũng,Nam,08/10/2000,Nhân sự,Chuyên viên,30/07/2023,Thạc sĩ,28000000,10,nv1004@congty.com.vn,0963956682,Đang làm việc
NV1005,Bùi Quốc Bình,Nam,04/02/1985,IT,Chuyên viên,26/08/2024,Thạc sĩ,8000000,5,nv1005@congty.com.vn,0959650807,Đang làm việc
NV1006,Vũ Thanh Chi,Nữ,20/11/2000,Chăm sóc khách hàng,Chuyên viên,01/07/2019,Trung cấp,7000000,15,nv1006@congty.com.vn,0920834405,Đang làm việc
NV1007,Lê Việt Minh,Nam,23/08/2000,Kế toán,Chuyên viên,01/09/2022,Cao đẳng,45000000,8,nv1007@congty.com.vn,0980207530,Đang làm việc
NV1008,Huỳnh Việt Bình,Nam,20/08/1997,Nhân sự,Giám đốc,08/09/2024,Đại học,8000000,11,nv1008@congty.com.vn,0966208488,Đang làm việc
NV1009,Phan Hữu Kiên,Nam,17/09/1986,Marketing,Phó phòng,27/01/2019,Cao đẳng,28000000,8,nv1009@congty.com.vn,0917122803,Đang làm việc
NV1010,Lý Xuân Hải,Nam,21/01/1976,Sản xuất,Trưởng nhóm,17/10/2019,Cao đẳng,35000000,13,nv1010@congty.com.vn,0943739891,Đang làm việc
NV1011,Trần Ngọc Chi,Nữ,16/01/1980,Nhân sự,Nhân viên,11/01/2024,Cao đẳng,8000000,14,nv1011@congty.com.vn,0989551741,Đang làm việc
NV1012,Phan Minh Huyền,Nữ,08/02/1982,Chăm sóc khách hàng,Chuyên viên,28/03/2019,Thạc sĩ,12000000,7,nv1012@congty.com.vn,0919868991,Đang làm việc
NV1013,Trần Kim Hà,Nữ,13/03/1989,Sản xuất,Chuyên viên,04/06/2020,Thạc sĩ,28000000,6,nv1013@congty.com.vn,0994828438,Đang làm việc
NV1014,Phan Minh Hà,Nữ,09/01/1993,Kế toán,Nhân viên,12/05/2018,Thạc sĩ,45000000,14,nv1014@congty.com.vn,0966133052,Đang làm việc
NV1015,Vũ Hồng Yến,Nữ,19/03/1994,Marketing,Nhân viên,05/10/2019,Thạc sĩ,35000000,15,nv1015@congty.com.vn,0939050434,Đang làm việc
NV1016,Võ Thị Nhi,Nữ,14/06/1982,Marketing,Trưởng phòng,04/04/2026,Cao đẳng,9000000,0,nv1016@congty.com.vn,0966072388,Tạm nghỉ
NV1017,Lý Công Bình,Nam,26/08/1987,Nhân sự,Phó phòng,10/10/2022,Thạc sĩ,22000000,7,nv1017@congty.com.vn,0921152355,Đang làm việc
NV1018,Ngô Quốc Đạt,Nam,03/11/1982,Kinh doanh,Phó phòng,08/01/2022,Đại học,10000000,5,nv1018@congty.com.vn,0971643898,Đã nghỉ việc
NV1019,Dương Xuân Đạt,Nam,21/06/1980,Hành chính,Giám đốc,20/11/2025,Trung cấp,15000000,2,nv1019@congty.com.vn,0961657620,Đã nghỉ việc
NV1020,Trần Hồng Nhi,Nữ,18/10/1997,Marketing,Giám đốc,11/06/2026,Trung cấp,10000000,10,nv1020@congty.com.vn,0917356698,Đang làm việc
NV1021,Trần Ngọc Ngân,Nữ,12/01/1994,Sản xuất,Chuyên viên,06/02/2022,Trung cấp,18000000,6,nv1021@congty.com.vn,0928576512,Tạm nghỉ
NV1022,Phạm Xuân Phát,Nam,25/12/1999,Marketing,Trưởng nhóm,18/11/2025,Đại học,9000000,8,nv1022@congty.com.vn,0977587480,Đang làm việc
NV1023,Trần Ngọc My,Nữ,17/09/1990,Nhân sự,Phó phòng,15/11/2021,Đại học,18000000,14,nv1023@congty.com.vn,0993342668,Đang làm việc
NV1024,Phan Xuân Cường,Nam,03/05/1980,Nhân sự,Chuyên viên,25/11/2018,Đại học,15000000,3,nv1024@congty.com.vn,0929858055,Đang làm việc
NV1025,Nguyễn Đức Sơn,Nam,12/08/1979,Chăm sóc khách hàng,Phó phòng,27/08/2025,Trung cấp,22000000,9,nv1025@congty.com.vn,0935375292,Đang làm việc
NV1026,Bùi Thành Phát,Nam,16/06/1995,Hành chính,Phó phòng,05/11/2021,Đại học,35000000,4,nv1026@congty.com.vn,0951137063,Đang làm việc
NV1027,Vũ Hải My,Nữ,10/06/1979,Hành chính,Chuyên viên,26/03/2021,Cao đẳng,6000000,9,nv1027@congty.com.vn,0934465275,Tạm nghỉ
NV1028,Huỳnh Quốc Dũng,Nam,15/03/1993,IT,Trưởng nhóm,18/06/2018,Cao đẳng,12000000,6,nv1028@congty.com.vn,0985495759,Đang làm việc
