student_id,student_name,gpa,english_status,informatics_status,national_defense_status,physical_education_status,tuition_status,discipline_status
SV001,Nguyễn Bảo Hằng,2.28,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV002,Nguyễn Trọng Hải,3.34,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV003,Ngô Quang Khang,2.13,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV004,Dương Mai Diệp,3.89,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV005,Trần Kim Trang,2.42,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV006,Phan Việt Khang,3.31,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV007,Vũ Việt Kiên,3.61,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV008,Bùi Kim Phương,2.87,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV009,Ngô Phương Loan,2.58,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV010,Ngô Xuân Cường,2.63,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV011,Võ Việt Kiên,2.04,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV012,Phạm Việt Khoa,3.61,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Cảnh cáo
SV013,Bùi Thanh An,2.04,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV014,Lý Hữu Trung,2.95,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV015,Phan Bảo Loan,3.94,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV016,Vũ Phương Hằng,1.82,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV017,Lý Thành Phúc,2.08,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV018,Ngô Quang Nam,2.68,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV019,Phạm Kim Hà,2.21,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV020,Phạm Thị Phương,3.95,Đạt,Chưa đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV021,Hồ Văn Đạt,2.61,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV022,Lý Thu Hà,2.44,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV023,Huỳnh Thị Nga,1.97,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV024,Trần Xuân Cường,2.70,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV025,Đặng Anh Kiên,3.80,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV026,Hoàng Diệu Vân,1.95,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Khiển trách
SV027,Nguyễn Mai Huyền,3.80,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV028,Phan Tuấn Kiên,2.24,Chưa đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV029,Võ Văn An,2.52,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV030,Hoàng Trọng Bình,3.59,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV031,Đỗ Kim Quỳnh,2.34,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV032,Huỳnh Thu Vân,2.69,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV033,Huỳnh Tuấn Dũng,2.62,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV034,Vũ Thị Quỳnh,2.22,Đạt,Chưa đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV035,Bùi Thị Diệp,3.69,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV036,Ngô Phương Nga,2.05,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV037,Phan Diệu Mai,1.95,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV038,Ngô Quang Minh,3.30,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV039,Hồ Mai Tuyết,1.80,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV040,Lý Tuấn Đạt,3.22,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV041,Phan Đức An,1.90,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV042,Hồ Thanh Loan,2.32,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV043,Dương Văn Phúc,2.34,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV044,Dương Phương Tuyết,3.35,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV045,Vũ Việt Khang,3.45,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV046,Lê Đức Duy,2.30,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV047,Ngô Minh Vinh,3.46,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV048,Hồ Minh Phúc,3.41,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV049,Hồ Tuấn Đạt,3.61,Chưa đạt,Chưa đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV050,Ngô Đức Tuấn,2.79,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV051,Ngô Bảo Tuyết,1.98,Đạt,Chưa đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV052,Nguyễn Kim Hà,3.60,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV053,Đỗ Đức Sơn,3.11,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV054,Hồ Minh Thịnh,2.23,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV055,Trần Diệu Nhi,2.72,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV056,Dương Thu Mai,2.18,Đạt,Chưa đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV057,Võ Diệu Uyên,2.33,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV058,Lý Quang Đạt,2.85,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV059,Phan Ngọc Hằng,3.35,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV060,Vũ Minh Thịnh,2.32,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV061,Dương Công Khoa,2.34,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV062,Lý Công Toàn,3.07,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV063,Hoàng Công Bình,3.89,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV064,Lý Thanh My,2.53,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV065,Trần Thu Dung,3.54,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV066,Hồ Thanh Yến,2.75,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV067,Phan Kim Hoa,3.22,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV068,Vũ Công Thịnh,2.41,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV069,Phan Hồng Diệp,2.97,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV070,Đặng Thanh Diệp,2.81,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV071,Bùi Phương Hoa,1.86,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV072,Trần Thu Ngân,2.92,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Khiển trách
SV073,Ngô Quang Kiên,3.24,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV074,Dương Ngọc Lan,2.34,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV075,Trần Thành Phong,2.58,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV076,Lý Hữu An,3.89,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV077,Phạm Thanh Diệp,3.19,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV078,Dương Trọng Duy,2.62,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV079,Võ Văn Khoa,3.36,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV080,Hồ Anh Vũ,2.49,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV081,Hồ Hồng Quỳnh,3.50,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV082,Dương Hữu Phong,3.76,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV083,Hồ Việt Cường,3.63,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV084,Trần Phương Chi,2.30,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV085,Phạm Thanh Giang,3.29,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV086,Huỳnh Thu Giang,1.97,Chưa đạt,Chưa đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV087,Võ Việt An,3.73,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Khiển trách
SV088,Ngô Tuấn Khang,2.78,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV089,Đặng Văn Tú,3.22,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV090,Đặng Thành Sơn,3.52,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV091,Phạm Việt Tài,1.88,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV092,Phan Đức Trường,2.96,Chưa đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV093,Đặng Tuấn Tuấn,2.53,Đạt,Chưa đạt,Hoàn thành,Chưa hoàn thành,Chưa hoàn thành,Bình thường
SV094,Đỗ Ngọc Trâm,2.65,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV095,Đỗ Ngọc Quỳnh,2.30,Đạt,Chưa đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV096,Đặng Hồng Diệp,2.10,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV097,Ngô Xuân Toàn,3.36,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV098,Phan Thanh My,3.84,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV099,Phan Hữu Tuấn,3.57,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV100,Phan Ngọc Tuyết,3.45,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV101,Hoàng Đức Phúc,2.34,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV102,Huỳnh Công Bình,2.07,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV103,Vũ Xuân Bình,3.36,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Khiển trách
SV104,Ngô Ngọc Ngân,3.33,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV105,Bùi Hồng Oanh,2.94,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV106,Phan Hồng My,3.71,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV107,Hoàng Việt Vũ,2.82,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV108,Bùi Việt Dũng,2.68,Chưa đạt,Chưa đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV109,Phạm Xuân Phong,2.26,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV110,Ngô Mai Trang,3.56,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV111,Đặng Quang Long,1.81,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV112,Phan Hồng Mai,2.78,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Cảnh cáo
SV113,Trần Việt Cường,2.39,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV114,Đặng Việt Thắng,3.08,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV115,Hoàng Bảo Huyền,2.51,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV116,Đỗ Ngọc Loan,3.65,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV117,Ngô Bảo Diệp,2.67,Chưa đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV118,Phạm Thành Nam,3.07,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV119,Phạm Mai Nga,2.22,Chưa đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV120,Huỳnh Xuân Duy,3.43,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV121,Bùi Việt Kiên,2.12,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV122,Dương Văn Bình,2.59,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV123,Trần Thanh Yến,3.54,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV124,Bùi Ngọc Nga,3.19,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV125,Hồ Hồng Trang,2.53,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV126,Hoàng Quang Cường,3.05,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV127,Đặng Mai Loan,3.18,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Chưa hoàn thành,Cảnh cáo
SV128,Ngô Trọng Long,1.84,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Khiển trách
SV129,Đặng Hữu Phong,3.46,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV130,Huỳnh Đức Tú,3.29,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV131,Đặng Thanh Hằng,2.95,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV132,Dương Bảo Trang,2.62,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV133,Đỗ Mai Yến,2.02,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
