STT,Mã sinh viên,Họ và tên,Ngành học,Quê quán,Đối tượng miễn giảm,Mức miễn giảm đề xuất,Tình trạng hồ sơ
1,241VHU0001,Bùi Ngọc Vinh,Ngôn ngữ Nhật,Long An,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
2,241VHU0002,Phạm Khánh Quân,Đông phương học,Đắk Lắk,Hộ nghèo,70% Học phí,Đã duyệt - Đúng hạn
3,241VHU0003,Trần Ngọc Mai,Tâm lý học,TP. Hồ Chí Minh,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
4,241VHU0004,Đặng Văn Tuấn,Quản trị dịch vụ du lịch và lữ hành,Tiền Giang,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Bổ sung HS
5,241VHU0005,Trần Thị Quân,Đông phương học,TP. Hồ Chí Minh,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Bổ sung HS
6,241VHU0006,Đặng Tuấn Hải,Tài chính - Ngân hàng,Bình Dương,Hộ nghèo,70% Học phí,Đã duyệt - Đúng hạn
7,241VHU0007,Võ Thu Khoa,Ngôn ngữ Anh,Bình Dương,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
8,241VHU0008,Hoàng Thành Hùng,Kỹ thuật phần mềm,Cần Thơ,Con thương binh / bệnh binh,100% Học phí,Chờ xác minh địa phương
9,241VHU0009,Phạm Đức Sơn,Tài chính - Ngân hàng,Bình Dương,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Bổ sung HS
10,241VHU0010,Hoàng Hoàng Huy,Quản trị dịch vụ du lịch và lữ hành,Bình Định,Hộ nghèo,70% Học phí,Đã duyệt - Đúng hạn
11,241VHU0011,Đặng Ánh Khoa,Ngôn ngữ Nhật,Long An,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
12,241VHU0012,Nguyễn Ngọc Tuấn,Công nghệ thông tin,TP. Hồ Chí Minh,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Bổ sung HS
13,241VHU0013,Lê Gia Mai,Thiết kế đồ họa,An Giang,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
14,241VHU0014,Dương Ánh Linh,Kế toán,Đắk Lắk,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
15,241VHU0015,Lê Phương Yến,Ngôn ngữ Anh,Bình Định,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
16,241VHU0016,Dương Thị Nga,Kế toán,Đắk Lắk,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
17,241VHU0017,Dương Ngọc Hương,Quản trị kinh doanh,Bình Dương,Hộ nghèo,70% Học phí,Chờ xác minh địa phương
18,241VHU0018,Đỗ Gia Phúc,Tâm lý học,Tây Ninh,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Bổ sung HS
19,241VHU0019,Dương Ngọc Anh,Kỹ thuật phần mềm,Tây Ninh,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
20,241VHU0020,Lý Ngọc Phúc,Kế toán,An Giang,Hộ cận nghèo,50% Học phí,Chờ xác minh địa phương
21,241VHU0021,Hoàng Thu Dũng,Marketing,Tây Ninh,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
22,241VHU0022,Lê Phương Huy,Ngôn ngữ Nhật,An Giang,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
23,241VHU0023,Ngô Đức Thảo,Quản trị kinh doanh,Tiền Giang,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
24,241VHU0024,Hồ Thị Khoa,Quản trị kinh doanh,Bến Tre,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
25,241VHU0025,Ngô Ánh Khoa,Ngôn ngữ Nhật,Long An,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
26,241VHU0026,Lê Hoàng Uyên,Quản trị dịch vụ du lịch và lữ hành,An Giang,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
27,241VHU0027,Dương Quang Sơn,Kỹ thuật phần mềm,Bình Dương,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
28,241VHU0028,Hồ Thị Thảo,Kỹ thuật phần mềm,Bến Tre,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
29,241VHU0029,Bùi Ngọc Trang,Đông phương học,Đồng Nai,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Đúng hạn
30,241VHU0030,Hoàng Ánh Yến,Đông phương học,Lâm Đồng,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Đúng hạn
31,241VHU0031,Hoàng Ngọc Sơn,Kế toán,An Giang,Mồ côi cả cha lẫn mẹ,100% Học phí,Chờ xác minh địa phương
32,241VHU0032,Dương Đức Hải,Đông phương học,An Giang,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
33,241VHU0033,Đặng Gia Uyên,Tài chính - Ngân hàng,TP. Hồ Chí Minh,Con thương binh / bệnh binh,100% Học phí,Chờ xác minh địa phương
34,241VHU0034,Hồ Khánh Em,Kế toán,Cần Thơ,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Bổ sung HS
35,241VHU0035,Trần Văn Uyên,Ngôn ngữ Nhật,Bình Dương,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
36,241VHU0036,Nguyễn Đức Nam,Tâm lý học,Lâm Đồng,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Bổ sung HS
37,241VHU0037,Bùi Hoàng Mai,Marketing,Cần Thơ,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
38,241VHU0038,Phan Tuấn Phúc,Ngôn ngữ Anh,Cần Thơ,Hộ nghèo,70% Học phí,Đã duyệt - Đúng hạn
39,241VHU0039,Hồ Khánh Linh,Marketing,Lâm Đồng,Hộ nghèo,70% Học phí,Đã duyệt - Bổ sung HS
40,241VHU0040,Hoàng Thành Anh,Kỹ thuật phần mềm,Long An,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
41,241VHU0041,Lý Tuấn Nam,Thiết kế đồ họa,Lâm Đồng,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Đúng hạn
42,241VHU0042,Ngô Khánh Nga,Tâm lý học,An Giang,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Bổ sung HS
43,241VHU0043,Huỳnh Ngọc Quân,Marketing,Bến Tre,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Bổ sung HS
44,241VHU0044,Đỗ Đức Phúc,Marketing,An Giang,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
45,241VHU0045,Lý Khánh Vinh,Quản trị kinh doanh,Bình Dương,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
46,241VHU0046,Ngô Thu Tâm,Tài chính - Ngân hàng,An Giang,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Đúng hạn
47,241VHU0047,Lý Hoàng Linh,Kỹ thuật phần mềm,Đắk Lắk,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Bổ sung HS
48,241VHU0048,Lê Thành Vinh,Tâm lý học,Tiền Giang,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Bổ sung HS
49,241VHU0049,Lê Thu Thảo,Kỹ thuật phần mềm,Lâm Đồng,Hộ nghèo,70% Học phí,Đã duyệt - Bổ sung HS
50,241VHU0050,Lê Tuấn Trang,Ngôn ngữ Nhật,An Giang,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Bổ sung HS
51,241VHU0051,Trần Quang Sơn,Công nghệ thông tin,Cần Thơ,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
52,241VHU0052,Lý Ánh Vinh,Tài chính - Ngân hàng,Bình Dương,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
53,241VHU0053,Đặng Thành Bình,Tâm lý học,Bình Dương,Sinh viên vùng dân tộc thiểu số,50% Học phí,Chờ xác minh địa phương
54,241VHU0054,Võ Văn Trang,Ngôn ngữ Anh,An Giang,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
55,241VHU0055,Trần Tuấn Huy,Tâm lý học,Bình Dương,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
56,241VHU0056,Lý Thị Em,Ngôn ngữ Nhật,Bình Dương,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Bổ sung HS
57,241VHU0057,Hoàng Ánh Hùng,Kế toán,Đắk Lắk,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
58,241VHU0058,Phạm Ánh Phúc,Quản trị dịch vụ du lịch và lữ hành,Lâm Đồng,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
59,241VHU0059,Dương Quang Phúc,Kế toán,Tiền Giang,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
60,241VHU0060,Huỳnh Phương Quân,Công nghệ thông tin,Long An,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
61,241VHU0061,Hoàng Khánh Phong,Marketing,Lâm Đồng,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
62,241VHU0062,Dương Hoàng Trang,Thiết kế đồ họa,Đắk Lắk,Hộ nghèo,70% Học phí,Chờ xác minh địa phương
63,241VHU0063,Đỗ Văn Trang,Kế toán,Long An,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Đúng hạn
64,241VHU0064,Dương Gia Phong,Kế toán,Cần Thơ,Mồ côi cả cha lẫn mẹ,100% Học phí,Chờ xác minh địa phương
65,241VHU0065,Vũ Gia Tuấn,Tâm lý học,Bình Dương,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
66,241VHU0066,Hoàng Thu Nam,Công nghệ thông tin,Bến Tre,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
67,241VHU0067,Bùi Thu Tuấn,Công nghệ thông tin,Lâm Đồng,Con thương binh / bệnh binh,100% Học phí,Chờ xác minh địa phương
68,241VHU0068,Đỗ Khánh Nam,Quản trị dịch vụ du lịch và lữ hành,Tây Ninh,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Bổ sung HS
69,241VHU0069,Võ Minh Dũng,Kế toán,Bến Tre,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
70,241VHU0070,Dương Phương Tuấn,Tâm lý học,Lâm Đồng,Hộ nghèo,70% Học phí,Chờ xác minh địa phương
71,241VHU0071,Phan Thu Khoa,Đông phương học,Tây Ninh,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
72,241VHU0072,Nguyễn Tuấn Anh,Kỹ thuật phần mềm,Bình Định,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Bổ sung HS
73,241VHU0073,Phạm Tuấn Nga,Tài chính - Ngân hàng,Bình Dương,Hộ nghèo,70% Học phí,Chờ xác minh địa phương
74,241VHU0074,Võ Đức Bình,Công nghệ thông tin,TP. Hồ Chí Minh,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
75,241VHU0075,Phan Ánh Trang,Kỹ thuật phần mềm,Bình Định,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
76,241VHU0076,Hoàng Gia Tuấn,Đông phương học,Bình Định,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
77,241VHU0077,Huỳnh Minh Huy,Ngôn ngữ Anh,Lâm Đồng,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
78,241VHU0078,Dương Minh Yến,Marketing,Tây Ninh,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
79,241VHU0079,Võ Thành Yến,Kỹ thuật phần mềm,Bến Tre,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
80,241VHU0080,Hồ Quang Bình,Kế toán,Tiền Giang,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
81,241VHU0081,Lê Ngọc Hải,Quản trị dịch vụ du lịch và lữ hành,Lâm Đồng,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
82,241VHU0082,Lý Thị Em,Ngôn ngữ Nhật,An Giang,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
83,241VHU0083,Phạm Ngọc Uyên,Kế toán,Bình Định,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Đúng hạn
84,241VHU0084,Lê Ánh Vinh,Kế toán,Tiền Giang,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
85,241VHU0085,Hoàng Tuấn Trang,Công nghệ thông tin,Bến Tre,Con thương binh / bệnh binh,100% Học phí,Chờ xác minh địa phương
86,241VHU0086,Võ Thành Uyên,Tài chính - Ngân hàng,TP. Hồ Chí Minh,Mồ côi cả cha lẫn mẹ,100% Học phí,Chờ xác minh địa phương
87,241VHU0087,Lý Ngọc Nam,Marketing,Cần Thơ,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
88,241VHU0088,Vũ Văn Mai,Tâm lý học,An Giang,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
89,241VHU0089,Đỗ Quang Tuấn,Kế toán,Lâm Đồng,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
90,241VHU0090,Lê Quang Sơn,Tài chính - Ngân hàng,Bình Dương,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Bổ sung HS
91,241VHU0091,Phan Thành Sơn,Công nghệ thông tin,Đồng Nai,Mồ côi cả cha lẫn mẹ,100% Học phí,Chờ xác minh địa phương
92,241VHU0092,Đặng Hoàng Mai,Kỹ thuật phần mềm,Tây Ninh,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
93,241VHU0093,Lý Thị Trang,Ngôn ngữ Anh,Long An,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
94,241VHU0094,Trần Đức Anh,Tâm lý học,Tiền Giang,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
95,241VHU0095,Hồ Thị Sơn,Đông phương học,Cần Thơ,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
96,241VHU0096,Dương Văn Bình,Tài chính - Ngân hàng,Đắk Lắk,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Bổ sung HS
97,241VHU0097,Trần Gia Dũng,Quản trị kinh doanh,Cần Thơ,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
98,241VHU0098,Dương Tuấn Sơn,Thiết kế đồ họa,Đồng Nai,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
99,241VHU0099,Lê Văn Vinh,Thiết kế đồ họa,TP. Hồ Chí Minh,Mồ côi cả cha lẫn mẹ,100% Học phí,Chờ xác minh địa phương
100,241VHU0100,Lý Ánh Bình,Quản trị kinh doanh,Long An,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
101,241VHU0101,Nguyễn Thành Trang,Công nghệ thông tin,Tiền Giang,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
102,241VHU0102,Huỳnh Khánh Tâm,Kỹ thuật phần mềm,Tiền Giang,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Đúng hạn
103,241VHU0103,Vũ Thị Hải,Marketing,Lâm Đồng,Hộ cận nghèo,50% Học phí,Chờ xác minh địa phương
104,241VHU0104,Hồ Quang Dũng,Đông phương học,Long An,Sinh viên vùng dân tộc thiểu số,50% Học phí,Chờ xác minh địa phương
105,241VHU0105,Bùi Khánh Hải,Công nghệ thông tin,Tây Ninh,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
106,241VHU0106,Lê Thị Hùng,Thiết kế đồ họa,Đắk Lắk,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
107,241VHU0107,Đỗ Thu Phúc,Ngôn ngữ Anh,TP. Hồ Chí Minh,Hộ nghèo,70% Học phí,Chờ xác minh địa phương
108,241VHU0108,Hoàng Thị Trang,Quản trị dịch vụ du lịch và lữ hành,TP. Hồ Chí Minh,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
109,241VHU0109,Lý Thị Anh,Công nghệ thông tin,Đắk Lắk,Hộ nghèo,70% Học phí,Đã duyệt - Đúng hạn
110,241VHU0110,Đặng Gia Uyên,Ngôn ngữ Anh,Đồng Nai,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
