mssv,ho_ten,ngay_sinh,khoa,nganh,nam_hoc,hoc_ky,gpa_hoc_ky,diem_ren_luyen,loai_hoc_bong_dang_ky,hoan_canh_kho_khan,vipham_ky_luat,no_hoc_phi,ket_qua_xet_hoc_bong,ly_do_truot_hoac_xep_loai
211A000001,Pham Tuyet Thao,2003-09-20,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.78,94,Hoc bong Dong hanh Vuot kho,1,0,0,Dat,Dat HB Dong hanh Vuot kho
211A000002,Ngo Van Yen,2003-02-11,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,2.95,98,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000003,Do Phuong Thao,2003-11-23,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,3.15,73,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000004,Cao Tan An,2003-12-30,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,2.89,80,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000005,Dinh Truc Nhi,2003-09-26,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,3.06,56,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000006,Trinh Minh Yen,2003-08-08,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,3.76,62,Hoc bong Dong hanh Vuot kho,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000007,Mai Ngoc Thinh,2003-07-25,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.61,80,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000008,Tran Gia Yen,2003-08-23,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,3.83,71,Hoc bong Dong hanh Vuot kho,1,0,0,Dat,Dat HB Dong hanh Vuot kho
211A000009,Truong Huu Bich,2003-05-29,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 1,2.92,87,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000010,Truong Truc Cuong,2003-11-29,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,2.28,81,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,GPA hoac DRL khong dat muc toi thieu cho HB Trai tim Hung Hau
