STT,Mã sinh viên,Họ và tên,Lớp,Ngành học,Điểm CPA,Xếp loại tốt nghiệp,Chuẩn Ngoại ngữ,Chuẩn Tin học,GDQP & GDTC,Trạng thái xét
1,221VHU0001,Đặng Tuấn Dũng,221NG02,Ngôn ngữ Anh,2.12,Trung bình,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
2,221VHU0002,Võ Tuấn Uyên,221ĐÔ01,Đông phương học,2.58,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
3,221VHU0003,Hồ Tuấn Khoa,221ĐÔ02,Đông phương học,2.27,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
4,221VHU0004,Võ Gia Mai,221MA02,Marketing,3.44,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
5,221VHU0005,Vũ Tuấn Sơn,221ĐÔ03,Đông phương học,3.53,Giỏi,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
6,221VHU0006,Đặng Khánh Phúc,221ĐÔ01,Đông phương học,3.71,Xuất sắc,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
7,221VHU0007,Lý Thành Vinh,221KẾ03,Kế toán,3.41,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
8,221VHU0008,Bùi Tuấn Châu,221QU02,Quản trị kinh doanh,2.69,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
9,221VHU0009,Bùi Quang Hùng,221QU01,Quản trị dịch vụ du lịch và lữ hành,2.57,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
10,221VHU0010,Lê Ngọc Hải,221NG03,Ngôn ngữ Nhật,2.23,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
11,221VHU0011,Đặng Gia Bình,221TH02,Thiết kế đồ họa,2.27,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
12,221VHU0012,Dương Thành Khoa,221TÂ02,Tâm lý học,2.35,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
13,221VHU0013,Huỳnh Quang Trang,221CÔ01,Công nghệ thông tin,2.01,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
