mssv,ho_ten,ngay_sinh,khoa,nganh,tin_chi_tich_luy,tin_chi_yeu_cau,gpa_tich_luy,xep_loai_hoc_luc,diem_ren_luyen,chuandau_ngoai_ngu,chuandau_tin_hoc,chung_chi_gdqp_gddt,no_hoc_phi,ky_luat,ket_qua_xet_tot_nghiep,ly_do_chi_tiet
201A000001,Pham Tuyet Thao,2002-09-20,Ky thuat Cong nghe,Cong nghe Ky thuat O to,125,135,3.16,Kha,76,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 10 tin chi tich luy
201A000002,Cao Duc Khoa,2002-01-02,Du lich,Quan tri Khach san,124,124,3.57,Gioi,78,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000003,Do Viet Nhi,2002-09-20,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.04,Trung binh,84,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000004,Nguyen Viet Nam,2002-08-25,Truyen thong,Truyen thong Da phuong tien,126,126,3.08,Kha,81,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000005,Huynh Kim Lam,2002-08-04,Du lich,Quan tri Dich vu Du lich,124,124,3.54,Gioi,86,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000006,Pham Nhat Quang,2002-03-14,Truyen thong,Truyen thong Da phuong tien,124,126,3.17,Kha,79,Dat,Dat,Chua dat,0,0,Khong du dieu kien,Thieu 2 tin chi tich luy | Thieu chung chi GDQP-AN/GDDT
201A000007,Huynh Tan Thinh,2002-11-28,Du lich,Quan tri Dich vu Du lich,124,124,2.69,Kha,62,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000008,Phan Kim Quang,2002-07-04,Kinh te,Ke toan,128,128,2.83,Kha,81,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000009,Pham Duc Thao,2002-05-13,Truyen thong,Truyen thong Da phuong tien,114,126,2.86,Kha,54,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 12 tin chi tich luy
201A000010,Vo Duc An,2002-02-17,Cong nghe Thong tin,An toan Thong tin,132,132,3.81,Xuat sac,55,Dat,Dat,Dat,1,0,Khong du dieu kien,Con no hoc phi / Chi phi thuat
201A000011,Ly Viet Em,2002-01-03,Ngoai ngu,Ngon ngu Trung Quoc,125,125,3.47,Gioi,81,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
