STT,Mã hồ sơ,Họ và tên,Ngày sinh,Tỉnh/Thành phố,Ngành xét tuyển,Phương thức xét tuyển,Điểm xét tuyển,Kết quả
1,261VHU0001,Phạm Văn Vinh,24/02/2008,Lâm Đồng,Kế toán,Xét học bạ THPT,20.34,Trúng tuyển
2,261VHU0002,Lê Ánh Nam,08/09/2008,An Giang,Công nghệ thông tin,Xét học bạ THPT,18.98,Trúng tuyển
3,261VHU0003,Nguyễn Thu Hải,14/04/2008,Tiền Giang,Tâm lý học,Xét điểm ĐGNL ĐHQG,867.0,Trúng tuyển
4,261VHU0004,Võ Phương Anh,09/03/2008,Đồng Nai,Thiết kế đồ họa,Xét điểm ĐGNL ĐHQG,761.0,Trúng tuyển
5,261VHU0005,Bùi Thị Châu,12/10/2008,Bình Dương,Marketing,Xét học bạ THPT,21.77,Trúng tuyển
6,261VHU0006,Trần Hoàng Nga,13/02/2008,Cần Thơ,Ngôn ngữ Nhật,Xét học bạ THPT,28.22,Trúng tuyển
7,261VHU0007,Đặng Khánh Trang,23/02/2008,TP. Hồ Chí Minh,Quản trị dịch vụ du lịch và lữ hành,Xét điểm thi THPT,24.06,Trúng tuyển
8,261VHU0008,Vũ Phương Huy,13/05/2008,Tiền Giang,Kỹ thuật phần mềm,Xét học bạ THPT,27.1,Trúng tuyển
9,261VHU0009,Đỗ Thành Linh,23/11/2008,Lâm Đồng,Tài chính - Ngân hàng,Xét học bạ THPT,25.04,Trúng tuyển
10,261VHU0010,Lê Ánh Trang,06/08/2008,Bến Tre,Thiết kế đồ họa,Xét điểm ĐGNL ĐHQG,877.0,Trúng tuyển
11,261VHU0011,Võ Tuấn Uyên,27/01/2008,Đồng Nai,Ngôn ngữ Nhật,Xét học bạ THPT,25.19,Trúng tuyển
12,261VHU0012,Trần Phương Khoa,19/12/2008,Tây Ninh,Marketing,Xét điểm thi THPT,18.69,Trúng tuyển
