student_id,student_name,major,credits_earned,required_credits,gpa,english_passed,it_passed,mandatory_courses_remaining,graduation_status
SV001,SinhVien_001,QTKD,130,140,2.04,True,True,1,Đang học
SV002,SinhVien_002,CNTT,137,140,2.03,True,False,3,Chưa đủ điều kiện TN
SV003,SinhVien_003,Kế toán,103,140,2.31,True,False,1,Có nguy cơ
SV004,SinhVien_004,Ngôn ngữ Anh,116,140,2.28,True,True,1,Có nguy cơ
SV005,SinhVien_005,Ngôn ngữ Anh,107,140,2.14,True,True,0,Có nguy cơ
SV006,SinhVien_006,Marketing,112,140,3.13,True,False,3,Có nguy cơ
SV007,SinhVien_007,CNTT,95,140,3.01,True,False,1,Có nguy cơ
SV008,SinhVien_008,CNTT,132,140,2.3,True,True,1,Đang học
SV009,SinhVien_009,Ngôn ngữ Anh,114,140,2.41,True,True,2,Có nguy cơ
SV010,SinhVien_010,QTKD,134,140,3.86,True,False,1,Có nguy cơ
SV011,SinhVien_011,CNTT,100,140,2.82,True,False,1,Có nguy cơ
SV012,SinhVien_012,Kế toán,104,140,3.61,True,True,2,Chưa đủ điều kiện TN
SV013,SinhVien_013,QTKD,135,140,2.49,False,True,3,Chưa đủ điều kiện TN
SV014,SinhVien_014,Marketing,105,140,3.44,True,False,3,Có nguy cơ
SV015,SinhVien_015,CNTT,113,140,2.28,True,False,3,Chưa đủ điều kiện TN
SV016,SinhVien_016,Marketing,97,140,2.14,True,False,3,Có nguy cơ
SV017,SinhVien_017,CNTT,114,140,3.11,False,False,2,Có nguy cơ
SV018,SinhVien_018,Marketing,133,140,3.39,True,False,2,Chưa đủ điều kiện TN
SV019,SinhVien_019,CNTT,100,140,2.8,True,False,1,Có nguy cơ
SV020,SinhVien_020,Kế toán,130,140,2.46,True,True,2,Có nguy cơ
SV021,SinhVien_021,CNTT,139,140,3.83,True,False,2,Có nguy cơ
SV022,SinhVien_022,Kế toán,113,140,3.73,True,True,0,Có nguy cơ
SV023,SinhVien_023,Marketing,95,140,1.99,False,True,1,Chưa đủ điều kiện TN
SV024,SinhVien_024,Marketing,125,140,2.16,False,True,1,Có nguy cơ
SV025,SinhVien_025,QTKD,132,140,3.23,False,False,3,Chưa đủ điều kiện TN
SV026,SinhVien_026,CNTT,94,140,2.54,True,False,1,Chưa đủ điều kiện TN
SV027,SinhVien_027,Ngôn ngữ Anh,104,140,1.95,True,True,0,Có nguy cơ
SV028,SinhVien_028,Marketing,132,140,2.87,True,False,3,Có nguy cơ
SV029,SinhVien_029,Marketing,116,140,2.22,True,False,3,Có nguy cơ
SV030,SinhVien_030,Ngôn ngữ Anh,119,140,3.7,True,False,0,Chưa đủ điều kiện TN
SV031,SinhVien_031,QTKD,96,140,2.35,True,False,3,Chưa đủ điều kiện TN
SV032,SinhVien_032,Kế toán,107,140,2.82,True,True,0,Chưa đủ điều kiện TN
SV033,SinhVien_033,QTKD,90,140,3.93,True,True,3,Có nguy cơ
SV034,SinhVien_034,Ngôn ngữ Anh,115,140,3.79,True,True,0,Có nguy cơ
SV035,SinhVien_035,Ngôn ngữ Anh,140,140,3.53,True,True,3,Chưa đủ điều kiện TN
SV036,SinhVien_036,Kế toán,103,140,3.93,True,False,2,Chưa đủ điều kiện TN
SV037,SinhVien_037,QTKD,120,140,2.91,True,True,0,Đang học
SV038,SinhVien_038,Kế toán,94,140,3.11,True,True,0,Có nguy cơ
SV039,SinhVien_039,Kế toán,105,140,3.07,True,False,0,Có nguy cơ
SV040,SinhVien_040,Marketing,126,140,2.95,True,True,2,Có nguy cơ
SV041,SinhVien_041,CNTT,98,140,3.28,True,True,2,Có nguy cơ
SV042,SinhVien_042,QTKD,90,140,2.81,True,True,1,Có nguy cơ
SV043,SinhVien_043,Kế toán,112,140,3.74,True,True,2,Chưa đủ điều kiện TN
SV044,SinhVien_044,CNTT,135,140,2.47,True,False,2,Có nguy cơ
SV045,SinhVien_045,Kế toán,98,140,2.38,True,False,1,Có nguy cơ
SV046,SinhVien_046,Ngôn ngữ Anh,103,140,3.38,True,False,2,Có nguy cơ
